STATE,D1,COUNT(U.UNIVERSITY)
AK,22594,12
AL,15618,93
AR,14402,88
AZ,16806,146
CA,21380,789
CO,19377,141
CT,26198,100
DC,26015,25
DE,21209,21
FL,19437,402
GA,17563,199
HI,21818,28
IA,17350,96
ID,15603,44
IN,17454,139
KS,18034,96
KY,15360,117
LA,15171,128
MA,22797,197
MD,22681,105
ME,17211,43
MI,18719,204
MN,19710,149
MO,17582,226
MS,13117,64
MT,15346,31
NC,17194,199
ND,15866,30
NE,17948,53
NH,20236,44
NJ,24354,173
NM,14823,52
NV,20042,53
NY,23710,481
OH,18638,383
OK,16077,149
OR,17895,99
PA,19433,812
RI,19821,24
SC,15844,113
SD,16075,31
TN,16574,190
TX,17260,479
UT,14847,88
VA,20312,178
VT,17643,28
WA,19637,128
WI,17986,127
WV,14436,79
